date,media,url,title
2016.01.19,대한금융신문,http://www.kbanker.co.kr/news/articleView.html?idxno=59016,골치 아픈 연말정산, 뱅크샐러드 앱으로 한번에 해결
2016.01.20,아웃스탠딩,http://outstanding.kr/%EC%A7%80%EC%B6%9C-%EA%B4%80%EB%A6%AC-%ED%95%80%ED%85%8C%ED%81%AC%EB%9D%BC%EB%A9%B4-%EC%97%B0%EA%B0%84-100%EB%A7%8C%EC%9B%90-%EC%A0%952016.0%.B%8F%84%EB%8A%94-%EC%95%84%EA%BB%B4%EC%A4%98%EC%95%BC/,지출 관리 핀테크라면 연간 100만원 정도는 아껴줘야!
2016.01.20,비석세스,http://kr.besuccess.com/2016/01/banksalad/,뱅크샐러드, 신용·체크카드 소득공제 자동 계산기 기능 추가
2016.01.25,탑클래스,http://topclass.chosun.com/board/view.asp?catecode=L&tnu=201602100025,소비 패턴에 맞게 신용카드 추천하는 스마트 앱 ‘뱅크샐러드’
2016.01.26,동아일보,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0002936657,홈택스-코리아택스에 절세요령 좍∼
2016.01.26,전자일보,http://www.etnews.com/20160126000323,똑소리나는 핀테크, 연말정산 돕고 금융상품 추천
2016.01.26,매일경제,http://news.mk.co.kr/newsRead.php?no=73667&year=2016a,김태훈 뱅크샐러드 대표 | 대형 카드사·은행이 먼저 찾아가는 ‘핀테크 청년’…“1년에 100만원씩 세이브해주는 앱(App) 완성하겠습니다”
2016.01.28,위키트리,http://www.wikitree.co.kr/main/news_view.php?id=248055,신박해 유용한 핀테크 어플 6개
2016.01.28,비트허브,http://bithub.co.kr/n_news/news/view.html?no=5871&PHPSESSID=771ea6aa13c707626ebf59c38aeb81be,금융업 위기 타파하려면 자산관리 강화∙글로벌 핀테크 협력
2016.02.01,중앙일보,https://jmagazine.joins.com/economist/view/309915,[주목할 비즈니스 모델 | ‘골라주는’ 서비스] 내가 원하는 걸 나보다 잘 아네~
